source name	characteristics[biological replicate]	characteristics[cell type]	characteristics[disease]	characteristics[organism part]	characteristics[organism]	characteristics[strain/breed]	characteristics[treatment]	technology type	assay name	comment[alkylation reagent]	comment[cleavage agent details]	comment[collision energy]	comment[data file]	comment[dissociation method]	comment[file uri]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[technical replicate]	comment[tool metadata]
sample 1	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 1	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0046.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0046.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 2	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 2	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0048.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0048.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 3	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 3	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0050.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0050.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 4	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 4	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0052.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0052.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 5	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 5	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0054.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0054.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 6	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 6	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0062.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0062.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 7	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 7	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0064.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0064.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 8	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 8	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0076.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0076.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 9	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 9	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0078.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0078.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
sample 10	Not available	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Not available	Not applicable	Proteomic profiling by mass spectrometry	run 10	IAA	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	27% NCE	QX1_21_0080.raw	"NT=HCD; AC=MS:1002481"	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/11/PXD026423/QX1_21_0080.raw	1	Not available	NT=Q Exactive	label free sample	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	Not available	DTT	Not available	lesSDRF v0.1.0
