source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s01.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 1	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s01.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	Not available	
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s02.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 2	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s02.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	Not available	
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s03.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 3	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s03.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	Not available	
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s04.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 4	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s04.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	Not available	
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s05.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 5	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s05.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	Not available	
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s06.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 6	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s06.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	Not available	
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s07.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 7	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s07.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	Not available	
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s08.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 8	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s08.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	Not available	
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s09.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 9	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s09.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	Not available	
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s10.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	Not available	Proteomic profiling by mass spectrometry	run 10	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s10.raw	1	Label free sample	NT=Q Exactive Plus	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"	Not available	Not available	DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"	Not available	
