source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	technology type	assay name	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]
ATCC1	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	1	Proteomic profiling by mass spectrometry	run 1	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_01.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_01.raw
ATCC2	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	2	Proteomic profiling by mass spectrometry	run 2	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_02.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_02.raw
ATCC3	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	3	Proteomic profiling by mass spectrometry	run 3	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_03.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_03.raw
ATCC4	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	4	Proteomic profiling by mass spectrometry	run 4	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_04.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_04.raw
ATCC5	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	5	Proteomic profiling by mass spectrometry	run 5	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_05.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_05.raw
ATCC6	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	6	Proteomic profiling by mass spectrometry	run 6	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_06.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_06.raw
ATCC_KO1	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	1	Proteomic profiling by mass spectrometry	run 7	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_01.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_01.raw
ATCC_KO2	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	2	Proteomic profiling by mass spectrometry	run 8	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_02.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_02.raw
ATCC_KO3	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	3	Proteomic profiling by mass spectrometry	run 9	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_03.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_03.raw
ATCC_KO4	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	4	Proteomic profiling by mass spectrometry	run 10	1	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_04.raw	1	Label free sample	NT=Q Exactive HF	"NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)"			DTT	IAA	"NT=Carbamidomethylation; AC=UNIMOD:4;TA=C"	"NT=HCD; AC=MS:1002481"		https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_04.raw
